unknown,auer1995a,"p. auer, n. cesa-bianchi, y. freund, and r. e. schapire,",,"gambling in a rigged casino: the adversarial multi-armed bandit problem,'",,"in proc. 36th annual symposium on foundations of computer science,","los alamitos, ca:","ieee computer society press,","1995,","pp. 322-331.",,,
unknown,blum1993,"a. blum, m. furst, m. j. kearns, and richard j. lipton.",,"cryptographic primitives based on hard learning problems.",,"in pre-proceedings of crypto '93,",,,1993,"pages 24.1-24.10,",,,
unknown,blum1993,"avrim blum, merrick furst, michael kearns, and richard j. lipton.",,"cryptographic primitives based on hard learning problems.",,"in pre-proceedings of crypto '93,",,,1993,"pages 24.1-24.10,",,,
unknown,blum1993,"avrim blum, merrick furst, michael kearns, and richard j. lipton.",,"cryptographic primitives based on hard learning problems.",,"proc. crypto 93,",,"springer,",1994,"pages 278-291.","in douglas r. stinson, editor,","lecture notes in computer science no. 773.",
unknown,blum1993,"a. blum, m. furst, m. kearns, r. lipton.",,"cryptographic primitives based on hard learning problems.",,"crypto,",,,1993,,,,
unknown,blum1994,"blum, a., furst, m., jackson, j., kearns, m., mansour, y., & rudich, s.",,"weakly learning dnf and characterizing statistical query learning using fourier analysis.",,"proceedings of the 26th annual acm symposium on theory of computing,",,,(1994).,"pp. 253-262.",,,
unknown,blum1994,"blum, a., furst, m., jackson, j., kearns, m., mansour, y., & rudich, s.",,"weakly learning dnf and characterizing statistical query learning using fourier analysis.",,"in proceedings of the twenty-sixth annual acm symposium on theory of computing,","montreal, canada.","acm press.",(1994).,"(pp. 253-262),",,,
unknown,blum1994,"blum a., furst m., jackson j., kearns m., mansour y., and rudich s.",,"weakly learning dnf 10 and characterizing statistical query learning using fourier analysis.",,"in proc. 26th annu. acm sympos. theory comput.","new york, ny,","acm press,",1994,,,,
unknown,blum1994,"a. blum, m. furst, j. jackson, m. kearns, y. mansour, and s. rudich.",,"weakly learning dnf and characterizing statistical query learning using fourier analysis.",,"in proceedings of the 26th acm symposium on the theory of computing.","new york, ny,","acm press,",1994,,,,
unknown,blum1994,"avrim blum, merrick furst, jeffrey jackson, michael kearns, yishay mansour, and steven rudich.",,"weakly learning dnf and characterizing statistical query learning using fourier analysis.",,"in t he 26 th annual acm symposium on t heory of computing,",,,1994,"pages 253 - 262,",,,
unknown,blum1994,"avrim blum, merrick furst, jeffery jackson, michael kearns, yishay mansour, and steven rudich.",,"weakly 8 learning dnf and characterizing statistical query learn-ing using fourier analysis.",,"in proceedings of the 26 th annual acm symposium on the theory of computing,",,,1994,,,,may
unknown,blum1994,"avrim blum, merrick furst, jeffery jackson, michael kearns, yishay mansour, and steven rudich.",,"weakly learning dnf and characterizing statistical query learning using fourier analysis.",,"in proceedings of the 26 th annual acm symposium on the theory of computing,",,,1994,,,,may
unknown,blum1994,"avrim blum, merrick furst, jeffery jackson, michael kearns, yishay mansour, and steven rudich.",,"weakly learning dnf and characterizing statistical query learning using fourier analysis.",,"in proceedings of the twenty-sixth annual acm symposium on the theory of computing,",,,1994,,,"to appear.",
unknown,blum1994,"a. blum, m. furst, j. jackson, m. kearns, y. mansour, and s. rudich.",,"weakly learning dnf and characterizing statistical query learning using fourier analysis.",,"in proceedings of twenty-sixth acm symposium on theory of computing,",,,1994,,,,
unknown,blum1994,"blum, a., m. furst, j. jackson, m. kearns, y. mansour and s. rudich,",,"weakly learning dnf and characterizing statistical query learning using fourier analysis,",,"proceedings of the 26th annual acm symposium on theory of computing,",,,1994,"pp. 253-62,",,,
