1st hse past (rhs),1
2/98-latchford barracks,1
21st,1
2nd hse lhs,2
2nd last on right,1
abbaston,1
abbatoir cottage,1
abbey fields,2
abbey green,1
abbie hae,1
abbotsley cottage,1
aberdeen village,1
aberglasslyn cottage,2
abervle ret vllge,1
abilene,1
aboriginal nhulunbuy hostel,1
acacia hills street,1
acacia house,2
acadia,2
aceland poll hereford stud,1
acton park,1
acton road,1
adams cottage,1
adare stock route road,1
adds bldg,1
adelaide,1
adelaide dental hospital,1
adeline rtrmnt vlg,1
adiren,1
admiralty quays,1
adventist retirement village,1
adventist retrmnt vlge,1
adventure bay,1
afflexian,4
agarabi,2
aha house,1
ahc house,1
ahwahnee,2
aichookoora,1
ainslie chmbrs,1
ainslie house,17
ainslie nursing home,1
aintree,2
air force estate,1
aird,3
airdrie,1
airforce memorial estate,3
airlie,3
akenfield,1
alabama,2
alandale apartments,1
alanvale,2
alawah,1
albaredo,1
albeni station,1
albion,2
albion grove,1
albion heights,2
alblas hostel,1
alcarana,1
alchemy,1
alchera vlge,1
aldersyde east,1
aldersyde estate,1
aldinga beach court,3
alehvale station,1
aleon,2
alexander's folly,1
alexandra racecourse,1
algonquin,1
alice downs,2
alice street,1
all saints college,1
allambee reserve,2
allamby biala street,1
allandale,4
allandale aged care facility,2
allanvale,3
allawah flats,1
allenga downs,2
allensleigh,2
allenstown mall,1
allman court,1
allunga,3
allura waters,1
almay,1
almerta,1
alnwick,3
alongamor,1
alpine vineyards,1
alpli stud,1
alton hills,2
altona,2
amarillo,2
amaroo estate,1
amaroo hostel,1
amarra station,1
amberu,1
ambervale,2
amble side garden,1
amblin caravan park,1
amboyne,1
amelia,1
amh representative,1
amherst village,2
aminya hmes,1
aminya vlge,4
anam cara bld,1
anana,1
anchor,1
anderwood,2
anglers,1
anglevale,1
anglican church,2
anglican guest village,1
anice-ohn,1
annandale hill,1
annecy park,2
annesley,1
anona farm,1
anstee court,1
antanoff' south,2
antelle park,2
antigua,1
anukana,1
anzac house (cnr archer s street,9
apat 5,1
apmnt 203,3
apmnt 501,1
apmnt 65,2
apmt 1702,1
apple cottage,1
apple glen,1
appleglen,2
applewoods,1
appollonia hse,1
aprt 101,1
aprt 18 the village,1
aprt 1a sasbas apartments,1
aprt 22,1
aprt 504,2
aprt 5105,1
aprt 59,2
aprtmnt 55,1
aprtmt 34,1
apt 1,1
apt 116,1
apt 16 the village,1
apt 2005,2
apt 21 the manor,1
apt 211,1
apt 27,1
apt 312 the rock wall,2
apt 503,1
apt 710,2
apt 8 petrie mansions,1
apt 8g,1
apt pc,1
aptmn 12,1
aptmnt 2,1
aptmnt 240,1
aptmnt 42,1
aptmt 206,1
arabian stud kelkette park,2
aralee,1
aranmor,1
ararat retirement village,1
ararat turf club,1
aratula street,1
araucaria precinct,1
arawang,2
arbour cottage,1
arcadia,15
archdale back,1
ardens,1
ardersier,2
ardess,1
ardlui,3
ardmona,1
ardnevale,1
ardonachie,1
ardrossan,7
ardroy-south,1
aremar,1
arena,1
argyl square,1
argyle,10
argyle garden,3
argyle village,3
argylla,1
ark hall,1
arkaba,1
arlington,4
armagh street,1
armidale,2
armidale hospital,1
armidale private hospital,2
armitage,1
arndilly,1
arnwood,2
aronui,2
arrow park,1
arrowgrove,1
arthelen,1
arthella,1
arthur river park,1
arton vlge,1
arulbin,1
ascot park,2
ascotvale,1
ascotvalley,1
ash-mere,1
ashbank,1
ashdown,2
ashell,3
ashens street,1
ashgrove farms,3
ashlea,1
ashleigh house bergen court,1
ashley manor,1
ashmill park,1
ashville,1
atherton,1
athlone,7
athlone 2,1
attadandoo,2
attunga orchard,1
aumuller house,1
auroch lodge,2
auscott park,1
austral farm,1
australia arcade,3
australia fair medical west centre,5
australian fair west,2
australian swimming head quarter bldg,1
autum lodge,1
avalind,1
avalyn,3
avenal,2
avenel,2
avenue road,1
avocado acres,1
avon caravn park,1
avonlea park rmb 4045,2
avonleigh,3
avonwood,1
b,3
b & b hooper farms,2
ba/unit 1,1
baanenuc,1
backacres,3
backwoodlands,1
badjaree,1
bagheera,1
bahloo,1
baidermeer,1
bakers beach,1
bakers creek,2
balala station,1
balamba,1
balandry,1
baldivis estate,1
balena farm,1
balfron station,2
balladong house,1
ballandean lodge,1
ballarkona,1
ballawinna stud,2
ballegun,1
ballenah,1
ballina,1
ballow chambers,1
ballyboy,2
ballymannin,3
balmain cove,1
balmoral garden,6
bambra-aireys,1
banamba,1
banana shed,2
banavie,2
