abbeywood,13
abbotsford,3860
abercrombie,44
aberfeldie,60
aberfeldy,8
abergowrie,132
abernethy,67
acacia creek,5
acacia ridge,2249
acland,143
acton,681
adaminaby,260
adamstown,2326
adamstown heights,1752
adavale,23
addington,28
adelaide,3431
adelaide lead,15
adeline,27
adelong,501
adjungbilly,36
adventure bay,99
afterlee,13
agery,21
agnes,22
agnes banks,188
agnew,2
aileron,2
airdmillan,9
airds,822
aireys inlet,584
airlie beach,586
airly,52
airville,180
aitkenvale,1735
ajana,31
alanvale,43
alawa,679
albanvale,108
albany creek,4803
alberton,986
alberton west,41
albion park,3261
albion park rail,2138
albury,6888
albury east,490
albury west,1
alcomie,18
aldershot,122
aldgate,1217
aldinga beach,1570
alectown,90
alexandra bridge,85
alfords point,859
alfred cove,973
ali-curung,1
alice creek,7
alice springs,7951
alinjarra,37
alkira park,5
allambee,43
allambie,495
allambie heights,1874
allandale,45
allanooka,28
allans flat,49
allansford,449
allawah,1379
allendale,51
allendale north,2
allens rivulet,82
allgomera,1
allies creek mundubbera,12
alligator creek,687
allingham,417
allora,622
allworth,62
allynbrook,30
alma bay,131
almaden,19
almonds,5
alstonvale,5
alton downs,373
altona east,3
altona meadows,3927
altona north,4023
alvie,93
alyangula,336
amby,48
amelup,27
american beach,34
american river,185
amesbury,7
amiens,127
ammerdown,1
amphitheatre,110
ancona,33
andergrove,3136
anderleigh,22
andrews,513
anduramba,30
angaston,977
angledale,25
anglers paradise,217
anglers rest,10
anglesea,1876
angurugu,23
anketell,61
annandale,6314
annangrove,350
annuello,27
ansons bay,40
antill ponds,5
anula,723
anzac village,1
appila,51
appin,520
appin south,39
apple tree creek,145
applecross,2524
applegarth,5
apslawn,1
apsley,179
aquatic paradise,5
araluen,79
aramara,29
arana hills,2280
arcadia,605
archdale,8
archdale junction,1
archies creek,86
ardeer,1861
ardglen,10
ardlethan,269
ardmona,222
ardrossan,667
areyonga,6
argenton,516
argoon,13
argyle,62
ariah park,263
armagh,27
armatree,62
armidale,8382
armstrong,31
armstrongs beach,135
arno bay,154
arnold,26
arnold west,9
aroona,882
arrilalah,1
arrino,32
artarmon,4001
arthurs creek,166
arthurton,134
arundel,2617
ascot,2599
ascot factory,47
ascot park,1100
ascot vale,4951
ashbourne,92
ashby heights,1
ashby island,2
ashfield,8250
ashford,632
ashgrove,4296
ashmore city,1
ashwood,2124
aspendale gardens,884
aspley,4758
asquith,1163
athelstone,2870
atherton,2613
athlone,51
athol park,410
atholwood,11
attunga,283
attwood,418
atwell,1314
aubigny,94
auburn,8139
auburn vale,5
audley,8
augathella,263
auldana,181
aurukun,77
austins ferry,686
austinville,12
austral eden,51
australia plains,10
avalon,2981
avalon beach,386
avenell heights,278
avoca,1140
avoca beach,1854
avoca heights,40
avoca north,423
avon,22
avondale,162
avondale heights,3500
avonmore,9
axe creek,44
ayers rock,29
ayrford,8
baan baa,94
babbage island,7
babyl creek,2
bacchus marsh,4323
back valley,81
baddaginnie,163
baden,20
badgebup north,26
badger island,1
badgerin rock,15
badgin,25
badu island,62
bael bael,1
baerami,34
baerami creek,16
bagdad,349
bago lower,12
bahrs scrub,255
bailey creek,32
bailieston,5
bailup,4
bairnsdale west,1
bakers creek,243
bakers swamp,33
baking board,4
balaklava,836
balcatta,3354
balcolyn,316
balcombe,5
bald knob,37
bald nob,1
balfour,2
balhannah,564
balkuling,54
balla,26
balladoran,35
ballalaba,42
ballan,771
ballarat,12791
ballarat central,1
ballarat north,432
ballard,37
balldale,99
ballendella,48
balliang,98
balliang east,43
ballidu,74
ballidu east,20
ballidu west,7
ballimore,80
ballina,5314
bally bally,37
ballyrogan,38
balmain east,258
balnagowan,5
balnarring beach,69
balonne,6
balook,6
balranald,724
balrootan north,2
balwyn north,6707
bamawm,205
bambaroo,80
ban ban springs,4
banar,10
bancroft,26
bandianna,1
bangham,26
bangor,1765
banjup,372
banks,1132
banksia,703
banksia peninsula,8
banksmeadow,96
bannerton,70
bannister,50
banool,1
banoon,3
banyabba,1
banyena,25
banyo,1781
banyule,8
bar beach,538
barabba,13
baralaba,250
baranduda,368
barcaldine,676
barep,13
barfold,38
bargara,2093
barham north,3
barilla bay,2
baringhup,83
barjarg,59
barkly,29
barkstead,10
barmah,173
barmedman east,21
barmera,1272
barmera west,68
barnadown,7
barnawartha north,9
barnawartha south,7
baromee point,1
barongarook,276
barooga,544
baroota,29
barraba,850
barrabool,26
barrack heights,1953
barrack point,289
barragup,279
barrallier,8
barramunga,12
barretts creek,3
barrington,281
barrington lower,80
barringun,6
barrow creek,3
barryreenie,3
bartle frere,42
barton,204
barunga,13
barunga gap,13
barwite,90
barwon heads,1460
baskerville,93
basket range,94
bassendean,3092
batar creek,12
batchelor,249
batchica,2
bateman,1171
batemans bay,1711
batlow,628
battery hill,402
bauhinia,53
baulkamaugh,13
baulkham hills west,75
bauple,246
bawley point,439
baxter,1510
bay village,1
bayfield,1
bayindeen,2
baynton,83
bayonet head,800
bayswater,9853
bayswater north,2388
bayview,1621
bayview heights,1678
beach holm,2
beachlands,280
beachmere,1083
beacon,71
beacon south,14
beaconsfield upper,960
bealiba,104
bearbung,2
bearii,73
beatrice creek,5
beaudesert,2219
beaufort river,15
beaumaris,4701
beaumaris north,1
beaumont,943
beaury creek,7
beauty point,742
beckom,101
bectric,20
bedford harbour,21
bedford park,541
bedfordale,436
beechboro,3147
beecher,140
beechmont,288
beecroft,2800
beelbangera,175
beelerup,1
beeliar,899
beenak,1
beenleigh,2909
beenong,25
beerburrum,195
beermullah,39
bees creek,136
behana,3
belahville,3
belalie,18
belbora,58
belconnen,1229
belgian gardens,775
belgrave,1860
belimbla park,92
belivah,86
belka,3
belka east,19
bellambi,1129
bellarine,66
bellata,258
bellawongarah,37
bellbird heights,73
bellbridge,136
bellenden ker,74
bellevue hill,3526
belli park,85
bellingham,37
bellmere,507
bells beach,30
bells bridge,80
bellthorpe,53
bellthorpe west,3
belmont,11508
belmont heights,4
belmont north,2566
belmont park,8
belmore river,74
belrose,3223
belvedere estate,69
belvidere,16
belyuen,3
bemboka,246
bembridge,1
ben bullen,22
ben venue,80
bena,124
benalla east,3
benalla west,2
benambra,114
benandarah,37
bendalong,93
bendemeer,222
bendick murrell,66
bendigo east,110
bendigo north,217
bendoc,65
benetook,1
benholme,3
beni,29
benjinup,1
benloch,46
benneree,7
bennetts green,13
bennettswood,34
benowa,2611
benowa waters,1
berala,2250
beresford,487
bergalia,56
berkeley vale,3206
berkley downs,1
bernard,1
bernier island,1
berowra heights,1587
berremangra,22
berrico,38
berriedale,831
berrilee,89
berrima,353
berrima west,3
berrimah,264
berrimbool,6
berringa,44
berringama,34
berringer,5
berriwillock,113
berry park,10
berthong,16
bertram,82
berwick,7744
bessiebelle,60
beswick,5
bet bet,70
beta,1
bete bolong,23
bethanga,205
bethania,1487
bethany,19
bethel,16
beulah,240
beulah park,579
beveridge,146
beverley park,526
beverly hills,3082
bewong,4
bexhill,150
bexley north,887
bibaringa,23
bibbenluke,63
bibby springs,16
bibra lake,1961
bickley,223
bickley vale,2
bicton,2495
biddaddaba creek,5
biddon,8
bidgeemia,23
bidwill,1266
big hill,91
big pats creek,8
big springs,42
biggera waters,1774
bilbarin,2
bilbul,199
bilgola,244
bilgola beach,18
bilgola plateau,949
bilingurr,15
billabong,28
billys creek,21
bilpin,299
bimbaya,4
bimbi,31
bimbimbie,1
binda,111
bindogundra,37
bindoon,440
bingera,32
bingham,6
bingie,75
bingil bay,138
biniguy,67
binjour,80
binjura,1
binnia,4
binningup,368
binnu west,34
binnum,28
birchgrove,1014
birkdale,4179
birkenhead,570
birmingham gardens,781
birralee,57
birrong,918
birtinya,143
birubi point,36
bishops creek,13
bishopsbourne,59
bittern,1030
black hill,371
black lead,2
black mountain,98
black rock,2375
black springs,104
black stump,6
black swamp,12
blackall,719
blackburn north,1521
blackbutt,1079
blackfriars,3
blackheath,1937
blackmans bay,2436
blackmans flat,6
blacks beach,492
blacksmiths,716
blackstone,269
blackstone heights,301
blacktown,13292
blacktown south,1
blackwood creek,44
